CustomerID,Gender,Age, Annual Income ,Spending Score ,Profession,City,Membership Type,Tenure (Years)
427,Male,66,"54,78,000",86,Student,Chennai,Gold,9
428,Female,30,"24,90,000",,Doctor,Delhi,Silver,2
429,Male,50,"41,50,000",20,Lawyer,Delhi,Silver,5
430,Female,51,"42,33,000",33,Manager,Delhi,Silver,6
431,Male,58,"48,14,000",74,Manager,Mumbai,Silver,7
432,Female,52,"43,16,000",40,Manager,Kolkata,Silver,5
433,Male,18,"14,94,000",32,Artist,Chennai,Silver,9
434,Female,38,"31,54,000",97,Entrepreneur,Kolkata,Gold,1
435,Female,65,"53,95,000",2,Artist,Mumbai,Gold,7
436,Female,23,"19,09,000",97,Engineer,Mumbai,Gold,10
437,Female,45,"37,35,000",33,Manager,Pune,Silver,7
438,Female,34,"28,22,000",77,Lawyer,Hyderabad,Platinum,4
439,Male,22,"18,26,000",30,Student,Hyderabad,Silver,9
440,Male,48,"39,84,000",33,Doctor,Bangalore,Silver,5
441,Male,22,"18,26,000",77,Entrepreneur,Mumbai,Gold,4
442,Female,55,"45,65,000",26,Teacher,Chennai,Silver,7
443,Male,20,"16,60,000",22,Student,Pune,Silver,4
444,Female,40,"33,20,000",66,Entrepreneur,Pune,Gold,3
445,Female,54,"44,82,000",38,Artist,Kolkata,Platinum,9
446,Male,54,"44,82,000",90,Artist,Hyderabad,Silver,8
447,Male,27,"22,41,000",46,Student,Mumbai,Gold,1
448,Female,27,"22,41,000",15,Artist,Bangalore,Platinum,7
449,Male,36,"29,88,000",98,Manager,Mumbai,Silver,9
450,Female,34,"28,22,000",44,Engineer,Kolkata,Silver,8
451,Female,38,"31,54,000",49,Doctor,Delhi,Silver,8
452,Female,31,"25,73,000",75,Engineer,Mumbai,Silver,6
453,Female,26,"21,58,000",61,Entrepreneur,Kolkata,Silver,4
454,Female,63,"52,29,000",67,Doctor,Delhi,Platinum,8
455,Male,18,"14,94,000",6,Lawyer,Delhi,Gold,3
456,Male,68,"56,44,000",9,Doctor,Bangalore,Gold,9
457,Female,62,"51,46,000",6,Engineer,Chennai,Silver,2
458,Female,30,"24,90,000",73,Student,Hyderabad,Gold,2
459,Male,21,"17,43,000",95,Doctor,Mumbai,Platinum,7
460,Male,18,"14,94,000",32,Lawyer,Delhi,Gold,10
461,Female,66,"54,78,000",41,Lawyer,Mumbai,Silver,4
462,Male,57,"47,31,000",76,Lawyer,Chennai,Gold,10
463,Female,49,"40,67,000",8,Engineer,Hyderabad,Silver,8
464,Male,51,"42,33,000",72,Doctor,Chennai,Silver,9
465,Female,45,"37,35,000",50,Teacher,Hyderabad,Silver,7
466,Male,48,"39,84,000",92,Student,Pune,Gold,5
467,Female,25,"20,75,000",62,Manager,Hyderabad,Gold,8
468,Male,56,"46,48,000",84,Doctor,Bangalore,Silver,4
469,Male,43,"35,69,000",62,Lawyer,Chennai,Silver,2
470,Female,51,"42,33,000",7,Teacher,Delhi,Silver,6
471,Male,20,"16,60,000",75,Manager,Pune,Silver,9
472,Female,67,"55,61,000",84,Manager,Bangalore,Silver,1
473,Male,29,"24,07,000",80,Entrepreneur,Mumbai,Silver,10
474,Female,18,"14,94,000",4,Doctor,Chennai,Gold,7
475,Male,61,"50,63,000",6,Engineer,Kolkata,Silver,10
476,Female,22,"18,26,000",58,Doctor,Kolkata,Silver,9
477,Male,47,"39,01,000",22,Teacher,Delhi,Silver,10
478,Female,47,"39,01,000",26,Manager,Hyderabad,Platinum,9
479,Male,34,"28,22,000",3,Doctor,Delhi,Gold,10
480,Female,65,"53,95,000",41,Engineer,Kolkata,Gold,3
481,Female,64,"53,12,000",60,Entrepreneur,Mumbai,Silver,5
482,Female,40,"33,20,000",14,Doctor,Pune,Gold,8
483,Male,32,"26,56,000",75,Student,Pune,Silver,8
484,Female,54,"44,82,000",82,Entrepreneur,Chennai,Gold,4
485,Male,38,"31,54,000",12,Engineer,Pune,Platinum,1
486,Female,31,"25,73,000",87,Teacher,Chennai,Gold,1
487,Male,19,"15,77,000",12,Manager,Chennai,Platinum,4
488,Female,28,"23,24,000",13,Doctor,Chennai,Gold,6
489,Male,68,"56,44,000",25,Engineer,Kolkata,Silver,8
490,Male,56,"46,48,000",45,Entrepreneur,Kolkata,Platinum,6
491,Female,55,"45,65,000",19,Student,Hyderabad,Silver,9
492,Male,51,"42,33,000",55,Engineer,Bangalore,Gold,9
493,Male,55,"45,65,000",100,Artist,Chennai,Silver,2
494,Female,67,"55,61,000",45,Lawyer,Chennai,Silver,10
495,Male,51,"42,33,000",8,Student,Bangalore,Silver,1
496,Male,35,"29,05,000",93,Entrepreneur,Delhi,Silver,2
497,Male,47,"39,01,000",53,Teacher,Chennai,Silver,5
498,Female,32,"26,56,000",,Manager,Hyderabad,Gold,4
499,Male,44,"36,52,000",32,Entrepreneur,Pune,Silver,4
500,Female,68,"56,44,000",51,Lawyer,Pune,Silver,9
